category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",22,0.8184739487694656,2.1072965398782335,0.0005333333333333334,15,"K00658,K00164,K01903,K01902,K01679,K00031,K00024,K00240,K00241,K01682,K00239,K01676,K00242,K01647,K00116",0.010651491938425621
M00982,Methylcitrate cycle,18,0.7613975042303489,1.8991134212566056,0.0005405405405405405,10,"K01637,K01679,K00024,K00240,K00241,K01682,K00239,K01676,K00242,K00116",0.010651491938425621
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",17,0.8206617385492173,2.048242866568833,0.0005455537370430987,12,"K00658,K00164,K01903,K01902,K01679,K00024,K00240,K00241,K00239,K01676,K00242,K00116",0.010651491938425621
M00173,Reductive citrate cycle (Arnon-Buchanan cycle),15,0.8370032954106543,2.003328384860837,0.0005543237250554324,11,"K01903,K01902,K01679,K00031,K00024,K00240,K00241,K01682,K00239,K01676,K00242",0.010651491938425621
M00144,"NADH:quinone oxidoreductase, prokaryotes",13,0.8137352464705041,1.9049863156289923,0.000564652738565782,12,"K00334,K13378,K00336,K00342,K00337,K00335,K00343,K00338,K00339,K00341,K00330,K00331",0.010651491938425621
M00149,"Succinate dehydrogenase, prokaryotes",4,0.945448570489649,1.692961367580023,0.0006565988181221273,4,"K00240,K00241,K00239,K00242",0.010651491938425621
M00577,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",4,0.9635228393033206,1.7253259401267402,0.0006565988181221273,4,"K00833,K00652,K01012,K01935",0.010651491938425621
M00123,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",4,0.9635228393033206,1.7253259401267402,0.0006565988181221273,4,"K00833,K00652,K01012,K01935",0.010651491938425621
M00432,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",4,0.9760105159382197,1.7476869175226517,0.0006565988181221273,4,"K01649,K01703,K00052,K01704",0.010651491938425621
M00012,Glyoxylate cycle,7,0.8673479250209212,1.7806530302390104,0.0011947431302270011,5,"K01637,K01638,K00024,K01682,K01647",0.016177285318559557
M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",7,0.8618421052631624,1.7693496601002434,0.0017921146953405018,7,"K00053,K01652,K00826,K11258,K01687,K01653,K01754",0.016177285318559557
M00019,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",6,0.8964156527458023,1.7921292102565596,0.001869158878504673,6,"K00053,K01652,K00826,K11258,K01687,K01653",0.016177285318559557
M00150,"Fumarate reductase, prokaryotes",4,-0.9618797239565892,-1.9497165217691719,0.0020876826722338203,4,"K00246,K00247,K00245,K00244",0.016177285318559557
M00153,Cytochrome bd ubiquinol oxidase,4,-0.9690162852690389,-1.9641822300619585,0.0020876826722338203,3,"K00424,K00425,K00426",0.016177285318559557
M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",3,0.9727332457293031,1.6273848983151038,0.002105263157894737,3,"K00525,K00940,K00526",0.016177285318559557
M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",3,0.965505913272009,1.61529355493012,0.002105263157894737,3,"K01903,K01902,K00024",0.016177285318559557
M00950,"Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin",3,0.9632063074901449,1.6114463093076288,0.002105263157894737,3,"K00652,K01012,K01935",0.016177285318559557
