category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",3,-0.9791321629678368,-1.5982913109446137,0.000998003992015968,3,"K00940,K00525,K00526",0.024653833164471464
M00026,"Histidine biosynthesis, PRPP => histidine",8,0.9299933642999314,1.9217283476354263,0.0010050251256281408,8,"K00817,K00013,K00765,K01814,K02501,K01089,K02500,K11755",0.024653833164471464
M00149,"Succinate dehydrogenase, prokaryotes",4,-0.9705102717030472,-1.7344579646121498,0.0010131712259371835,4,"K00241,K00242,K00239,K00240",0.024653833164471464
M00173,Reductive citrate cycle (Arnon-Buchanan cycle),15,-0.8858317709485066,-2.085585306549557,0.001040582726326743,10,"K01682,K00031,K00024,K00241,K01679,K00242,K00239,K00240,K01903,K01902",0.024653833164471464
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",22,-0.7045184814314788,-1.8483288526998898,0.0010438413361169101,13,"K01682,K00116,K00031,K00024,K00241,K01679,K00242,K00239,K00658,K00240,K00164,K01903,K01902",0.024653833164471464
M00144,"NADH:quinone oxidoreductase, prokaryotes",13,-0.8531659742413159,-1.9734794687727846,0.0011061946902654867,12,"K00331,K00330,K00341,K00338,K00339,K00337,K13378,K00334,K00343,K00342,K00336,K00335",0.024653833164471464
M00150,"Fumarate reductase, prokaryotes",4,0.9430086149768078,1.6287462641600807,0.0019704433497536944,4,"K00244,K00245,K00247,K00246",0.024653833164471464
M00697,"Multidrug resistance, efflux pump MdtEF-TolC",4,0.9424445304322652,1.627771988230887,0.0019704433497536944,3,"K18898,K18899,K07690",0.024653833164471464
M00535,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",3,-0.9599205034779402,-1.5669310619477304,0.001996007984031936,3,"K01704,K00052,K01703",0.024653833164471464
M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",3,-0.9642265650877446,-1.573960083274618,0.001996007984031936,3,"K00024,K01903,K01902",0.024653833164471464
M00432,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",4,-0.9602385685884033,-1.7161007789163587,0.002026342451874367,4,"K01704,K00052,K01703,K01649",0.024653833164471464
M00136,"GABA biosynthesis, prokaryotes, putrescine => GABA",4,-0.9546056991384373,-1.706033935147699,0.002026342451874367,4,"K09471,K09472,K09473,K09470",0.024653833164471464
