organism,n_annotated_features,status
Prochlorococcus marinus subsp. marinus CCMP1375 (pma),108,included
Prochlorococcus marinus subsp. pastoris CCMP1986 (pmm),108,included
Prochlorococcus marinus MIT 9313 (pmt),119,included
Prochlorococcus marinus NATL2A (pmn),109,included
Prochlorococcus marinus MIT 9312 (pmi),109,included
Prochlorococcus marinus AS9601 (pmb),108,included
Prochlorococcus marinus MIT 9515 (pmc),106,included
Prochlorococcus marinus MIT 9303 (pmf),119,included
Prochlorococcus marinus MIT 9301 (pmg),108,included
Prochlorococcus marinus MIT 9215 (pmh),107,included
Prochlorococcus marinus MIT 9211 (pmj),106,included
Prochlorococcus marinus NATL1A (pme),109,included
Prochlorococcus sp. MIT 0604 (prc),108,included
Prochlorococcus sp. MIT 0801 (prm),109,included
Prochlorococcus sp. RSP50 (pror),47,included
