position,organism
1,Prochlorococcus sp. RSP50 (pror)
2,Prochlorococcus marinus MIT 9313 (pmt)
3,Prochlorococcus marinus MIT 9303 (pmf)
4,Prochlorococcus marinus MIT 9312 (pmi)
5,Prochlorococcus marinus MIT 9301 (pmg)
6,Prochlorococcus marinus subsp. pastoris CCMP1986 (pmm)
7,Prochlorococcus marinus AS9601 (pmb)
8,Prochlorococcus marinus MIT 9515 (pmc)
9,Prochlorococcus marinus MIT 9215 (pmh)
10,Prochlorococcus sp. MIT 0604 (prc)
11,Prochlorococcus sp. MIT 0801 (prm)
12,Prochlorococcus marinus NATL2A (pmn)
13,Prochlorococcus marinus NATL1A (pme)
14,Prochlorococcus marinus subsp. marinus CCMP1375 (pma)
15,Prochlorococcus marinus MIT 9211 (pmj)
