organism,carbon_fixation_rubisco,denitrification,dissimilatory_sulfate_reduction,methanogenesis,nitrification_amo,nitrogen_fixation,oxygenic_photosynthesis,sulfur_oxidation_sox
Prochlorococcus marinus subsp. marinus CCMP1375 (pma),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus subsp. pastoris CCMP1986 (pmm),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus MIT 9313 (pmt),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus NATL2A (pmn),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus MIT 9312 (pmi),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus AS9601 (pmb),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus MIT 9515 (pmc),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus MIT 9303 (pmf),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus MIT 9301 (pmg),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus MIT 9215 (pmh),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus MIT 9211 (pmj),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus marinus NATL1A (pme),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus sp. MIT 0604 (prc),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus sp. MIT 0801 (prm),1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
Prochlorococcus sp. RSP50 (pror),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
