feature_id,n_a,n_b,median_a,median_b,median_diff,cliffs_delta,p_value,test,q_value
M00095,19,6,0.0,0.1428571428571428,-0.1428571428571428,-0.9473684210526315,1.2214294819411187e-05,mann_whitney,0.001275172379146528
M00367,19,6,0.0,0.3333333333333333,-0.3333333333333333,-0.9473684210526315,1.2214294819411187e-05,mann_whitney,0.001275172379146528
M00849,19,6,0.0,0.1666666666666666,-0.1666666666666666,-0.9473684210526315,1.2214294819411187e-05,mann_whitney,0.001275172379146528
M00344,19,6,0.25,0.5,-0.25,-0.9473684210526315,1.2214294819411187e-05,mann_whitney,0.001275172379146528
M00365,19,6,0.0,0.5,-0.5,-0.9473684210526315,1.2214294819411187e-05,mann_whitney,0.001275172379146528
M00096,19,6,0.875,1.0,-0.125,-0.9473684210526315,5.783444060101873e-05,mann_whitney,0.0033543975548590865
M00364,19,6,0.5,1.0,-0.5,-0.9473684210526315,5.783444060101873e-05,mann_whitney,0.0033543975548590865
M00366,19,6,0.25,0.5,-0.25,-0.9473684210526315,5.783444060101873e-05,mann_whitney,0.0033543975548590865
M00023,19,6,0.6666666666666666,1.0,-0.33333333333333337,-0.9473684210526315,5.783444060101873e-05,mann_whitney,0.0033543975548590865
M00098,19,6,0.5,0.0,0.5,0.8947368421052632,0.0001314195944161143,mann_whitney,0.0068601028285211665
M00345,19,6,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.7807017543859649,0.0001557808006168619,mann_whitney,0.0073925070838183555
M00001,19,6,0.8888888888888888,1.0,-0.11111111111111116,-0.7982456140350878,0.00047933509783091037,mann_whitney,0.020851076755644602
M00895,19,6,0.5555555555555556,0.6666666666666666,-0.11111111111111105,-0.8421052631578947,0.0006136229461418518,mann_whitney,0.02463932137584974
M00899,19,6,0.0,0.5,-0.5,-0.7894736842105263,0.0008553113420866219,mann_whitney,0.03189089432637262
M00999,19,6,1.0,0.5,0.5,0.7631578947368421,0.00129668438618415,mann_whitney,0.04078629237236511
