category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00616,Sulfate-sulfur assimilation,5,-0.9466067864271175,-1.7342014065943618,0.0009508716323296355,5,"K02048,K02046,K23163,K02047,K02045",0.12456418383518225
M00064,"ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep",6,-0.802840936335618,-1.5507848306246055,0.019358933671850206,2,"K21344,K21345",0.7080596606458676
M00793,"dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha",4,0.8463840399002489,1.6106791480350582,0.02079912424740011,4,"K01790,K01710,K00973,K00067",0.7080596606458676
M00374,Dicarboxylate-hydroxybutyrate cycle,8,-0.7410356046466476,-1.531680813060131,0.024188609920391915,4,"K00241,K00240,K00239,K01007",0.7080596606458676
M00112,"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol",4,-0.833057980049842,-1.4505892662039293,0.03244094488188976,3,"K09833,K05928,K09834",0.7080596606458676
M00149,"Succinate dehydrogenase, prokaryotes",3,-0.8673978065802929,-1.4099804570549532,0.03986486486486487,3,"K00241,K00240,K00239",0.7080596606458676
M00123,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",4,0.8059850374064931,1.5337993536975165,0.04324028461959496,4,"K00652,K01935,K00833,K01012",0.7080596606458676
M00577,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",4,0.8059850374064931,1.5337993536975165,0.04324028461959496,4,"K00652,K01935,K00833,K01012",0.7080596606458676
M00615,Nitrate assimilation,5,-0.7594371826418312,-1.3913031780899077,0.06624405705229794,4,"K15578,K15577,K15576,K15579",0.8246790651744568
M01022,"dTDP-6-deoxy-L-Tal biosynthesis, Glc-1P => dTDP-6-deoxy-L-Tal",3,0.8469591226321043,1.4691388719580143,0.06758080313418217,3,"K01790,K01710,K00973",0.8246790651744568
M00159,"V/A-type ATPase, prokaryotes",5,0.7405189620758457,1.514027851044099,0.07255008121277748,5,"K02120,K02123,K02117,K02124,K02121",0.8246790651744568
M00175,"Nitrogen fixation, nitrogen => ammonia",3,-0.8245264207378159,-1.3402917677982096,0.09527027027027027,3,"K02591,K02586,K02588",0.8246790651744568
M01031,"CDP-Asc biosynthesis, Glc-1P => CDP-Asc",3,-0.8199625928416693,-1.3328731323184884,0.10067567567567567,2,"K01709,K00978",0.8246790651744568
M01030,"CDP-Abe biosynthesis, Glc-1P => CDP-Abe",3,-0.8199625928416693,-1.3328731323184884,0.10067567567567567,2,"K01709,K00978",0.8246790651744568
M00950,"Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin",4,0.7436408977556271,1.4151576957691958,0.10946907498631636,4,"K00652,K01935,K01012,K25570",0.8246790651744568
M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",3,0.8115653040877238,1.407744604795531,0.11165523996082272,3,"K01053,K00002,K00012",0.8246790651744568
M00573,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin",3,0.8055832502492432,1.397368108937094,0.11998041136141038,3,"K00652,K01935,K01012",0.8246790651744568
M00880,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",5,0.6935599389456371,1.4180177925337027,0.1212777476989713,2,"K03638,K03637",0.8246790651744568
M00896,"Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP",4,-0.7530647066543925,-1.3112983806535468,0.1262992125984252,1,K00941,0.8246790651744568
M00063,"CMP-KDO biosynthesis, ribulose-5P => CMP-KDO",4,0.7251870324189618,1.3800397650223957,0.1319102353585112,4,"K01627,K06041,K03270,K00979",0.8246790651744568
M00161,Photosystem II,6,0.636045931103349,1.3694874049004355,0.13830361966504592,6,"K02705,K02703,K02707,K02708,K02704,K02706",0.8246790651744568
M00124,"Pyridoxal phosphate biosynthesis, erythrose-4P => pyridoxal-P",3,0.7885343968095714,1.367795095740545,0.1474045053868756,1,K00097,0.8246790651744568
M00988,"PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine",5,0.6579194552072327,1.3451490507889077,0.16025988088792636,3,"K09457,K06920,K10026",0.8246790651744568
M00572,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",6,0.6190126574843624,1.3328126106053761,0.1615343057806591,2,"K19560,K02169",0.8246790651744568
M01025,"dTDP-D-Fuc4NAc biosynthesis, Glc-1P => dTDP-D-Fuc4NAc",3,0.7751744765702825,1.3446209216566751,0.16503428011753182,3,"K01710,K00973,K02805",0.8246790651744568
M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",6,0.6166132480668313,1.3276463783950572,0.16531604538087522,1,K01754,0.8246790651744568
M00034,Methionine salvage pathway,11,0.4908435220935245,1.282118879008744,0.1756926952141058,7,"K08967,K08964,K09880,K00772,K08963,K00797,K01611",0.8246790651744568
M00157,"F-type ATPase, prokaryotes and chloroplasts",8,0.5517241379310385,1.2985820500618277,0.17626728110599077,8,"K02110,K02111,K02108,K02112,K02109,K02113,K02114,K02115",0.8246790651744568
M00023,"Tryptophan biosynthesis, chorismate => tryptophan",7,-0.6288711288711205,-1.2536285522628454,0.18500604594921402,1,K01658,0.8268582000217651
M01054,"Schizokinen biosynthesis, glutamate => schizokinen",3,0.7536390827517447,1.3072655365662886,0.19686581782566112,1,K13745,0.8268582000217651
M00035,Methionine degradation,3,-0.769822112609562,-1.2513683179204165,0.19763513513513514,1,K00558,0.8268582000217651
M01029,"CDP-Tyv biosynthesis, Glc-1P => CDP-Par => CDP-Tyv",4,-0.7044820381478306,-1.2267022311094946,0.22015748031496063,2,"K01709,K00978",0.8268582000217651
M00552,"Galactonate degradation, De Ley-Doudoroff pathway, galactonate => glycerate-3P",3,-0.7580591558657581,-1.2322472883303897,0.22162162162162163,1,K00134,0.8268582000217651
M00376,3-Hydroxypropionate bi-cycle,8,-0.5915562626849756,-1.222715037872148,0.2222902633190447,3,"K00241,K00240,K00239",0.8268582000217651
M00925,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",10,-0.5531808457420301,-1.2175671044126013,0.22546728971962618,8,"K05936,K00595,K13541,K02230,K02224,K03394,K05895,K13542",0.8268582000217651
M01035,"UDP-ManNAc3NAcA biosynthesis, UDP-GlcNAc => UDP-ManNAc3NAcA",3,0.7337986041874395,1.2728501586357863,0.22722820763956905,3,"K02474,K13018,K13020",0.8268582000217651
M00958,"Adenine ribonucleotide degradation, AMP => Urate",6,-0.6267860652460311,-1.210713452738155,0.2389717549984132,2,"K11751,K01488",0.8460891866160035
M00127,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP",6,-0.6157285810414638,-1.1893545782796833,0.26055220564900033,1,K00941,0.8973260073260073
M00165,Reductive pentose phosphate cycle (Calvin cycle),15,-0.48625143723855024,-1.1781203803566194,0.2671428571428571,3,"K00134,K00855,K03841",0.8973260073260073
M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",4,0.6218684059083093,1.1834231589909978,0.2769567597153804,3,"K01480,K00797,K01611",0.9070333880678708
M00173,Reductive citrate cycle (Arnon-Buchanan cycle),12,-0.4948669338318188,-1.1419150651810743,0.30599185573007565,4,"K00241,K00240,K00239,K01007",0.9364257313440277
M00096,"C5 isoprenoid biosynthesis, non-mevalonate pathway",8,-0.5495064967516143,-1.1358004290869055,0.3190447030006124,1,K01823,0.9364257313440277
M00924,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",13,-0.48324951790371556,-1.1235307614372367,0.32921574260270037,10,"K05936,K00595,K13541,K02224,K02188,K03394,K02189,K05895,K13542,K02191",0.9364257313440277
M01015,"GDP-Man biosynthesis, Man => GDP-Man",4,-0.654082816215262,-1.1389429489091853,0.3300787401574803,2,"K00966,K16881",0.9364257313440277
M00740,Methylaspartate cycle,3,0.6452984795613159,1.1193374686050024,0.33202742409402547,1,K00031,0.9364257313440277
M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",3,0.6440677966101721,1.1172027207591295,0.33496571988246815,3,"K00526,K00525,K00940",0.9364257313440277
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",11,-0.4963534963534859,-1.1203656921079548,0.3359695371997657,2,"K00134,K03841",0.9364257313440277
M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",3,0.6301096709870415,1.092990897089427,0.35210577864838394,3,"K01903,K01902,K00024",0.9542499549792905
M01045,"Zeaxanthin biosynthesis, lycopene => beta-carotene => zeaxanthin",4,-0.6389383683647902,-1.1125721871848153,0.35874015748031496,2,"K14605,K14606",0.9542499549792905
M00895,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP",7,-0.5404595404595233,-1.077383712111496,0.3954050785973398,1,K00941,0.9542499549792905
M00004,Pentose phosphate pathway (Pentose phosphate cycle),8,0.44177911044478235,1.039806641535018,0.4043778801843318,8,"K01783,K00036,K01057,K00033,K00615,K00616,K01807,K01810",0.9542499549792905
M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P",3,0.6006979062811595,1.041973125785412,0.4059745347698335,3,"K00036,K01057,K00033",0.9542499549792905
M00162,Cytochrome b6f complex,8,-0.5043230264566885,-1.0424086216160477,0.4292712798530312,2,"K02640,K02642",0.9542499549792905
M00855,"Glycogen degradation, glycogen => glucose-6P",3,-0.6510468594217463,-1.0582956763872011,0.4320945945945946,3,"K00688,K01835,K00705",0.9542499549792905
M00621,Glycine cleavage system,3,-0.6445663010967208,-1.0477613396390888,0.44222972972972974,2,"K00605,K00281",0.9542499549792905
M00959,"Guanine ribonucleotide degradation, GMP => Urate",6,-0.5401897154268516,-1.0434420797810264,0.44303395747381785,6,"K05810,K03787,K01081,K03783,K11751,K01487",0.9542499549792905
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",4,-0.5913549459683985,-1.029716007386473,0.4692913385826772,1,K00134,0.9542499549792905
