feature_id,prevalence,n_present,n_absent,n_known,n_unknown,known_fraction,pan_class
00250,0.96,24,1,25,0,1.0,soft-core
00196,0.96,24,1,25,0,1.0,soft-core
00566,0.96,24,1,25,0,1.0,soft-core
00520,0.96,24,1,25,0,1.0,soft-core
00561,0.96,24,1,25,0,1.0,soft-core
00541,0.96,24,1,25,0,1.0,soft-core
00910,0.96,24,1,25,0,1.0,soft-core
00270,0.92,23,2,25,0,1.0,shell
00332,0.92,23,2,25,0,1.0,shell
00300,0.92,23,2,25,0,1.0,shell
00261,0.92,23,2,25,0,1.0,shell
00220,0.92,23,2,25,0,1.0,shell
00052,0.92,23,2,25,0,1.0,shell
00130,0.92,23,2,25,0,1.0,shell
00760,0.92,23,2,25,0,1.0,shell
00790,0.92,23,2,25,0,1.0,shell
00660,0.92,23,2,25,0,1.0,shell
00906,0.92,23,2,25,0,1.0,shell
00521,0.92,23,2,25,0,1.0,shell
00900,0.92,23,2,25,0,1.0,shell
00360,0.92,23,2,25,0,1.0,shell
00330,0.92,23,2,25,0,1.0,shell
00470,0.92,23,2,25,0,1.0,shell
00450,0.92,23,2,25,0,1.0,shell
00542,0.92,23,2,25,0,1.0,shell
00540,0.92,23,2,25,0,1.0,shell
00480,0.92,23,2,25,0,1.0,shell
00460,0.92,23,2,25,0,1.0,shell
00340,0.92,23,2,25,0,1.0,shell
00350,0.92,23,2,25,0,1.0,shell
00550,0.92,23,2,25,0,1.0,shell
00543,0.92,23,2,25,0,1.0,shell
00552,0.92,23,2,25,0,1.0,shell
00500,0.92,23,2,25,0,1.0,shell
00562,0.92,23,2,25,0,1.0,shell
00564,0.92,23,2,25,0,1.0,shell
00920,0.92,23,2,25,0,1.0,shell
00770,0.92,23,2,25,0,1.0,shell
00750,0.92,23,2,25,0,1.0,shell
00740,0.92,23,2,25,0,1.0,shell
00730,0.92,23,2,25,0,1.0,shell
00720,0.92,23,2,25,0,1.0,shell
00410,0.92,23,2,25,0,1.0,shell
00401,0.92,23,2,25,0,1.0,shell
00071,0.88,22,3,25,0,1.0,shell
00310,0.88,22,3,25,0,1.0,shell
00999,0.88,22,3,25,0,1.0,shell
00946,0.88,22,3,25,0,1.0,shell
00625,0.88,22,3,25,0,1.0,shell
00650,0.84,21,4,25,0,1.0,shell
00380,0.84,21,4,25,0,1.0,shell
00430,0.84,21,4,25,0,1.0,shell
00627,0.84,21,4,25,0,1.0,shell
00364,0.8,20,5,25,0,1.0,shell
00600,0.8,20,5,25,0,1.0,shell
00623,0.8,20,5,25,0,1.0,shell
00511,0.8,20,5,25,0,1.0,shell
00361,0.8,20,5,25,0,1.0,shell
00525,0.76,19,6,25,0,1.0,shell
00523,0.76,19,6,25,0,1.0,shell
00053,0.72,18,7,25,0,1.0,shell
00626,0.4,10,15,25,0,1.0,shell
00907,0.32,8,17,25,0,1.0,shell
00633,0.16,4,21,25,0,1.0,shell
00121,0.16,4,21,25,0,1.0,shell
00515,0.12,3,22,25,0,1.0,cloud
00514,0.12,3,22,25,0,1.0,cloud
00311,0.08,2,23,25,0,1.0,cloud
00930,0.08,2,23,25,0,1.0,cloud
01040,0.08,2,23,25,0,1.0,cloud
00791,0.08,2,23,25,0,1.0,cloud
00100,0.04,1,24,25,0,1.0,cloud
00405,0.04,1,24,25,0,1.0,cloud
00440,0.04,1,24,25,0,1.0,cloud
00643,0.04,1,24,25,0,1.0,cloud
00909,0.04,1,24,25,0,1.0,cloud
00975,0.04,1,24,25,0,1.0,cloud
01054,0.04,1,24,25,0,1.0,cloud
