organism,n_annotated_features,status
Synechococcus elongatus PCC6301 (syc),122,included
Synechococcus elongatus UTEX 2973 (syu),121,included
Synechococcus elongatus PCC 7942 = FACHB-805 (syf),122,included
Synechococcus sp. CC9605 (syd),120,included
Synechococcus sp. CC9902 (sye),115,included
Synechococcus sp. CC9311 (syg),120,included
Synechococcus sp. RCC307 (syr),120,included
Synechococcus sp. WH 7803 (syx),121,included
Synechococcus sp. JA-3-3Ab (cya),115,included
Synechococcus sp. JA-2-3B'a(2-13) (cyb),117,included
Synechococcus sp. PCC 6312 (syne),122,included
Synechococcus sp. KORDI-100 (synk),120,included
Synechococcus sp. KORDI-49 (synr),118,included
Synechococcus sp. KORDI-52 (synd),119,included
Synechococcus sp. WH 8109 (syh),115,included
Synechococcus sp. WH 8103 (synw),117,included
Synechococcus sp. CB0101 (sync),122,included
Synechococcus sp. SynAce01 (syny),119,included
Synechococcus sp. CBW1002 (synz),125,included
Synechococcus sp. LA31 (synl),122,included
Synechococcus sp. NB0720_010 (syno),121,included
Synechococcus sp. WH 8101 (synu),123,included
Synechococcus sp. LTW-R (sylt),46,included
Synechococcus sp. CBW1107 (sycb),46,included
Synechococcus sp. NIES-970 (synn),122,included
