position,organism
1,Synechococcus sp. CBW1107 (sycb)
2,Synechococcus sp. LTW-R (sylt)
3,Synechococcus sp. JA-3-3Ab (cya)
4,Synechococcus sp. JA-2-3B'a(2-13) (cyb)
5,Synechococcus sp. NIES-970 (synn)
6,Synechococcus sp. PCC 6312 (syne)
7,Synechococcus sp. CC9902 (sye)
8,Synechococcus sp. WH 8109 (syh)
9,Synechococcus sp. CC9311 (syg)
10,Synechococcus elongatus UTEX 2973 (syu)
11,Synechococcus elongatus PCC6301 (syc)
12,Synechococcus elongatus PCC 7942 = FACHB-805 (syf)
13,Synechococcus sp. WH 8103 (synw)
14,Synechococcus sp. WH 8101 (synu)
15,Synechococcus sp. CB0101 (sync)
16,Synechococcus sp. LA31 (synl)
17,Synechococcus sp. KORDI-49 (synr)
18,Synechococcus sp. NB0720_010 (syno)
19,Synechococcus sp. KORDI-52 (synd)
20,Synechococcus sp. KORDI-100 (synk)
21,Synechococcus sp. CC9605 (syd)
22,Synechococcus sp. RCC307 (syr)
23,Synechococcus sp. SynAce01 (syny)
24,Synechococcus sp. WH 7803 (syx)
25,Synechococcus sp. CBW1002 (synz)
